appid,appname,description,uses_count,prncipal_name,chooseImage,getClipboardData,scanCode,chooseVideo,addPhoneContact,chooseLocation,chooseAlbum
6xMB30fQjB3edqs8GUGPbCx7RR5kcg8d,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
pKACmZ92p00QB5DYMttIugOmmI1XQBhG,unknown,unknown,unknown,unknown,1,1,1,1,1,1,0
mXWxfymXexkD9BIlXbFQZscL2fvoRXhz,unknown,unknown,unknown,unknown,0,0,1,0,0,0,0
OyIvf6LYVhKkbIHS1USP7xnSKYxc36SH,unknown,unknown,unknown,unknown,7,1,0,0,0,0,0
skt3V1oDmAwende0Ur9eWuq4mm6YrjtW,unknown,unknown,unknown,unknown,0,0,4,0,0,0,0
5haGpkXiNdLDpLRnKUgo0A23RI4DNvmf,unknown,unknown,unknown,unknown,0,0,1,0,0,0,0
npqFntlARXQNklmuqzvz5hkAlMA9uQfS,unknown,unknown,unknown,unknown,6,0,1,0,0,0,0
sc9Tq1iKawTnj5GhG6i77vzeIt4Crt5u,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
EM9BYcZEaFeQfzaOnzQaaF9Aq4k5OAuW,unknown,unknown,unknown,unknown,0,0,1,0,0,0,0
eot71qyZ0ino8W34o3XG6aQ9YdAn4R1m,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
MSvqbnUDb3GdbshOX2WoIGYnZ23nvPFE,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
557BMRWggyNDGPbc5fNs34X7Yf1g3EXB,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
eRSS2NhafvwzibGY2oFcNN98DFSPfujf,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
ubGt79hmfogvuMmjOUeuYbefB8mYhQKD,unknown,unknown,unknown,unknown,2,4,0,0,0,0,0
65Ge3NrVZ4m22raReijbGGChnrM1c6Gt,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
MzyRWoIRjWzq3pKItz5Dlt3Qhs7xSaKH,unknown,unknown,unknown,unknown,3,1,1,1,1,1,0
OH9cGOCgFeij1gmQ8B4TP2pLL3NVLP1n,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
0K6YcYNGkVBynSGd7XzQQjWQL6XoDGCM,unknown,unknown,unknown,unknown,4,0,0,0,0,0,0
T43rINkXjgPfdKNXTuhQER2KdACVdB00,unknown,unknown,unknown,unknown,1,0,0,0,0,0,0
g4X7FfGEDt7G1ksLibU22o0wB2p49W0D,unknown,unknown,unknown,unknown,5,0,0,0,0,0,0
GeVyFwtN81ARbPF3GIbuaPlRPT3SfzYB,unknown,unknown,unknown,unknown,2,0,0,0,0,0,0
CdKRXT4IrCwTD6LIBS7DIlL8rmbKx58N,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
AmnuKOLgt8NpGvGCp0Fx1HFsEvY2lOYc,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
y1lpwNoOyVpW33XOPd72rzN4aUS43Y3O,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
VlKQRMSyT32ln2AG84dmTjW6qldpGsNk,unknown,unknown,unknown,unknown,0,0,0,0,0,1,0
wt27RdkcQVBcXjllKjIBdEY4cOZ5o88v,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
6l4RV0aWRUrwFs72aSbm7NNSlLfZhVfE,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
x2806cuA3Id880StGz9K6MnShMoxCMNd,unknown,unknown,unknown,unknown,0,0,1,0,0,1,0
W0ppGXFuZpdgm1qH9nNGCKITeAaN2Xw1,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
6o7TINqKg0nEIOTRSnUmLQdDi9YjeHXQ,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0
